2018-05-16 23:35:18 INFO  Car - Speed:   1.1; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.1; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.1; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.1; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.1; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:18 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   3,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:19 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.6; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.7; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.8; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   0.9; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.0; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.1; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.1; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.1; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.2; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.2; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.2; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.3; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.3; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
2018-05-16 23:35:20 INFO  Car - Speed:   1.3; Angle:   0.0; Position:   4,3; Key:  4; Health: 100.0; Tile: ROAD
